Week,Year,Name,Pos,Team,h/a,Oppt,DK points,DK salary
10,2016,Arizona Defense,Def,ari,h,sfo,6,3700
10,2016,Atlanta Defense,Def,atl,a,phi,4,2600
10,2016,Baltimore Defense,Def,bal,h,cle,14,3700
10,2016,Carolina Defense,Def,car,h,kan,6,3200
10,2016,Chicago Defense,Def,chi,a,tam,5,2500
10,2016,Cincinnati Defense,Def,cin,a,nyg,5,2900
10,2016,Cleveland Defense,Def,cle,a,bal,5,2400
10,2016,Denver Defense,Def,den,a,nor,13,3100
10,2016,Houston Defense,Def,hou,a,jac,12,3800
10,2016,Kansas City Defense,Def,kan,a,car,13,3500
10,2016,Los Angeles Defense,Def,lar,a,nyj,10,2900
10,2016,Miami Defense,Def,mia,a,sdg,17,2400
10,2016,New England Defense,Def,nwe,h,sea,4,3300
10,2016,New Orleans Defense,Def,nor,h,den,10,2200
10,2016,New York G Defense,Def,nyg,h,cin,6,2900
10,2016,New York J Defense,Def,nyj,h,lar,7,2800
10,2016,Philadelphia Defense,Def,phi,h,atl,5,2600
10,2016,San Diego Defense,Def,sdg,h,mia,3,2900
10,2016,San Francisco Defense,Def,sfo,a,ari,10,2100
10,2016,Seattle Defense,Def,sea,a,nwe,6,3000
10,2016,Tennessee Defense,Def,ten,h,gnb,11,2400
10,2016,Washington Defense,Def,was,h,min,6,3000
10,2016,Tampa Bay Defense,Def,tam,h,chi,24,2700
10,2016,"Bortles, Blake",QB,jac,h,hou,19.7,5500
10,2016,"Bradford, Sam",QB,min,a,was,22.28,5000
10,2016,"Brady, Tom",QB,nwe,h,sea,15.34,7400
10,2016,"Brees, Drew",QB,nor,h,den,26.02,6900
10,2016,"Cousins, Kirk",QB,was,h,min,18.38,5400
10,2016,"Cutler, Jay",QB,chi,a,tam,8.98,5300
10,2016,"Dalton, Andy",QB,cin,a,nyg,12.66,5800
10,2016,"Flacco, Joe",QB,bal,h,cle,24.14,6200
10,2016,"Kaepernick, Colin",QB,sfo,a,ari,23.9,5800
10,2016,"Keenum, Case",QB,lar,a,nyj,7.7,5000
10,2016,"Kessler, Cody",QB,cle,a,bal,7.94,5000
10,2016,"Manning, Eli",QB,nyg,h,cin,20,5900
10,2016,"Newton, Cam",QB,car,h,kan,24.84,6800
10,2016,"Osweiler, Brock",QB,hou,a,jac,14.26,5400
10,2016,"Palmer, Carson",QB,ari,h,sfo,20.64,6500
10,2016,"Petty, Bryce",QB,nyj,h,lar,9.52,5000
10,2016,"Prescott, Dak",QB,dal,a,pit,22.76,6100
10,2016,"Rivers, Philip",QB,sdg,h,mia,24.04,6700
10,2016,"Roethlisberger, Ben",QB,pit,h,dal,31.42,6800
10,2016,"Ryan, Matt",QB,atl,a,phi,13.68,7300
10,2016,"Siemian, Trevor",QB,den,a,nor,16.82,5600
10,2016,"Smith, Alex",QB,kan,a,car,9.42,5400
10,2016,"Tannehill, Ryan",QB,mia,a,sdg,19.2,5300
10,2016,"Wentz, Carson",QB,phi,h,atl,9.24,5400
10,2016,"Wilson, Russell",QB,sea,a,nwe,29.52,6200
10,2016,"Winston, Jameis",QB,tam,h,chi,22.48,6300
10,2016,"Rodgers, Aaron",QB,gnb,a,ten,32.54,7600
10,2016,"Mariota, Marcus",QB,ten,h,gnb,28.6,5700
10,2016,"Ajayi, Jay",RB,mia,a,sdg,9,7000
10,2016,"Asiata, Matt",RB,min,a,was,8.5,3800
10,2016,"Bernard, Giovani",RB,cin,a,nyg,6.6,4600
10,2016,"Blount, LeGarrette",RB,nwe,h,sea,24.9,4900
10,2016,"Booker, Devontae",RB,den,a,nor,10.8,7000
10,2016,"Cadet, Travaris",RB,nor,h,den,4.6,3000
10,2016,"Crowell, Isaiah",RB,cle,a,bal,8.3,4200
10,2016,"Cunningham, Benny",RB,lar,a,nyj,7.7,3700
10,2016,"Dixon, Kenneth",RB,bal,h,cle,13,3900
10,2016,"Forte, Matt",RB,nyj,h,lar,12.9,6100
10,2016,"Freeman, Devonta",RB,atl,a,phi,11.1,6800
10,2016,"Gordon, Melvin",RB,sdg,h,mia,18.2,7100
10,2016,"Gurley, Todd",RB,lar,a,nyj,8.2,5300
10,2016,"Hightower, Tim",RB,nor,h,den,7.5,4600
10,2016,"Hill, Jeremy",RB,cin,a,nyg,10.6,4400
10,2016,"Howard, Jordan",RB,chi,a,tam,12,6000
10,2016,"Ingram, Mark",RB,nor,h,den,8.3,5400
10,2016,"Ivory, Chris",RB,jac,h,hou,6.1,3400
10,2016,"Jennings, Rashad",RB,nyg,h,cin,13.9,3600
10,2016,"Johnson, David",RB,ari,h,sfo,27.1,8400
10,2016,"Johnson, Duke",RB,cle,a,bal,6.1,4000
10,2016,"Juszczyk, Kyle",RB,bal,h,cle,4.7,3000
10,2016,"Kelley, Rob",RB,was,h,min,10.5,3600
10,2016,"Langford, Jeremy",RB,chi,a,tam,6.6,3700
10,2016,"Martin, Doug",RB,tam,h,chi,11.6,5800
10,2016,"McKinnon, Jerick",RB,min,a,was,6.3,3800
10,2016,"Miller, Lamar",RB,hou,a,jac,8.3,6400
10,2016,"Murray, DeMarco",RB,ten,h,gnb,31,6900
10,2016,"Powell, Bilal",RB,nyj,h,lar,21.9,5000
10,2016,"Prosise, C.J.",RB,sea,a,nwe,22.3,3900
10,2016,"Smallwood, Wendell",RB,phi,h,atl,7,3700
10,2016,"Sproles, Darren",RB,phi,h,atl,15.6,4300
10,2016,"Starks, James",RB,gnb,a,ten,13.4,4200
10,2016,"Thompson, Chris",RB,was,h,min,5.6,4000
10,2016,"Ware, Spencer",RB,kan,a,car,10.2,6700
10,2016,"West, Terrance",RB,bal,h,cle,8.7,5700
10,2016,"White, James",RB,nwe,h,sea,7.7,4500
10,2016,"Williams, Damien",RB,mia,a,sdg,15,3900
10,2016,"Yeldon, T.J.",RB,jac,h,hou,8.9,3700
10,2016,"Bell, Le'Veon",RB,pit,h,dal,34.4,7700
10,2016,"Elliott, Ezekiel",RB,dal,a,pit,43.9,7900
10,2016,"Mathews, Ryan",RB,phi,h,atl,32.9,3700
10,2016,"Adams, Jerell",TE,nyg,h,cin,10.8,2500
10,2016,"Anderson, Stephen",TE,hou,a,jac,7.7,2500
10,2016,"Bennett, Martellus",TE,nwe,h,sea,20.2,3400
10,2016,"Brate, Cameron",TE,tam,h,chi,21.4,3500
10,2016,"Davis, Vernon",TE,was,h,min,15.6,2700
10,2016,"Derby, A.J.",TE,den,a,nor,4.2,2500
10,2016,"DeValve, Seth",TE,cle,a,bal,9.5,2500
10,2016,"Dickson, Ed",TE,car,h,kan,3.6,2500
10,2016,"Eifert, Tyler",TE,cin,a,nyg,12.6,5200
10,2016,"Ellison, Rhett",TE,min,a,was,2.8,2500
10,2016,"Ertz, Zach",TE,phi,h,atl,11.5,3700
10,2016,"Fasano, Anthony",TE,ten,h,gnb,7.9,2500
10,2016,"Fiedorowicz, C.J.",TE,hou,a,jac,5.6,3500
10,2016,"Fleener, Coby",TE,nor,h,den,4.6,3300
10,2016,"Gates, Antonio",TE,sdg,h,mia,16.3,3900
10,2016,"Graham, Jimmy",TE,sea,a,nwe,8.8,5300
10,2016,"Gray, Marqueis",TE,mia,a,sdg,3.8,2500
10,2016,"Green, Ladarius",TE,pit,h,dal,6,2500
10,2016,"Green, Virgil",TE,den,a,nor,4.4,2900
10,2016,"Gresham, Jermaine",TE,ari,h,sfo,7.7,2500
10,2016,"Griffin, Ryan",TE,hou,a,jac,9.7,2500
10,2016,"Gronkowski, Rob",TE,nwe,h,sea,8.6,6900
10,2016,"Henry, Hunter",TE,sdg,h,mia,9.1,3000
10,2016,"James, Jesse",TE,pit,h,dal,9.9,2700
10,2016,"Kelce, Travis",TE,kan,a,car,8.1,5600
10,2016,"Koyack, Ben",TE,jac,h,hou,6.5,2500
10,2016,"Lewis, Marcedes",TE,jac,h,hou,2.9,2500
10,2016,"McDonald, Vance",TE,sfo,a,ari,9,2700
10,2016,"Miller, Zach",TE,chi,a,tam,7.2,3600
10,2016,"Olsen, Greg",TE,car,h,kan,8.9,5900
10,2016,"Pitta, Dennis",TE,bal,h,cle,8.6,4000
10,2016,"Reed, Jordan",TE,was,h,min,6.1,6200
10,2016,"Rodgers, Richard",TE,gnb,a,ten,6.7,2800
10,2016,"Rudolph, Kyle",TE,min,a,was,17.9,3600
10,2016,"Thomas, Julius",TE,jac,h,hou,14.4,2900
10,2016,"Tye, Will",TE,nyg,h,cin,10.3,2500
10,2016,"Waller, Darren",TE,bal,h,cle,9.4,2500
10,2016,"Witten, Jason",TE,dal,a,pit,11.9,4000
10,2016,"Walker, Delanie",TE,ten,h,gnb,30.4,4600
10,2016,"Adams, Davante",WR,gnb,a,ten,24.6,6300
10,2016,"Anderson, Robby",WR,nyj,h,lar,9.9,3000
10,2016,"Austin, Tavon",WR,lar,a,nyj,4.9,4100
10,2016,"Beasley, Cole",WR,dal,a,pit,8.3,5400
10,2016,"Beckham Jr., Odell",WR,nyg,h,cin,25.7,8800
10,2016,"Benjamin, Kelvin",WR,car,h,kan,14.4,6800
10,2016,"Boyd, Tyler",WR,cin,a,nyg,3.2,3000
10,2016,"Britt, Kenny",WR,lar,a,nyj,20.9,4900
10,2016,"Brown, John",WR,ari,h,sfo,6,4900
10,2016,"Bryant, Dez",WR,dal,a,pit,26.6,7000
10,2016,"Cobb, Randall",WR,gnb,a,ten,7.1,6400
